"","country","year","rgdpe","rgdpo","pop","emp","hc","ccon","cda","cgdpe","cgdpo","rgdpna","rkna","labsh","delta","csh_c","csh_i","csh_g","csh_x","csh_m","csh_r"
"1","Japan",1950,217900.84375,210138.4375,83.2930433672903,38.1925659179688,2.29000067710876,178650.40625,208392.625,211754.296875,210642.578125,259066.96875,94342.21875,0.68590772151947,0.0395769253373146,0.530159950256348,0.141197547316551,0.317961066961288,0.0460926555097103,-0.0520800463855267,0.0166688170284033
"2","Japan",1951,243568.25,233281.25,84.6435908597606,39.349609375,2.32251930236816,185151.5,232473.171875,238607.703125,235067.609375,282244.65625,102510.1953125,0.68590772151947,0.0418424122035503,0.526712715625763,0.201310873031616,0.260939359664917,0.0631961151957512,-0.0783261656761169,0.0261670518666506
"3","Japan",1952,265944.875,256535.671875,85.9308524096675,40.5417022705078,2.35549974441528,216126.859375,259902.40625,261604.28125,260213.140625,317139.3125,108792.25,0.68590772151947,0.0430119894444942,0.543002367019653,0.168229579925537,0.287573933601379,0.059062622487545,-0.0781601741909981,0.0202916692942381
"4","Japan",1953,278769.78125,267781.8125,87.1196893807972,41.7699127197266,2.38894844055176,237018.609375,279334.90625,275046.96875,273530.34375,338400.03125,114458.1171875,0.68590772151947,0.0437940359115601,0.585039734840393,0.154704168438911,0.28147691488266,0.0537697263062,-0.092404380440712,0.0174138024449348
"5","Japan",1954,296208.1875,281893.375,88.2117017412638,42.3036422729492,2.4228720664978,246264.171875,293625.15625,291895.21875,287649.3125,355235.90625,121121.2578125,0.68590772151947,0.0446875430643559,0.581258833408356,0.164648294448853,0.274867564439774,0.0530972629785538,-0.0906325876712799,0.0167606342583895
"6","Japan",1955,321578.84375,304900.5,89.2663916227828,43.6593284606934,2.45727729797363,259390.875,313685.25,316281.625,310723.125,380197.15625,129239.6640625,0.68590772151947,0.0457377918064594,0.579373061656952,0.174735575914383,0.255424410104752,0.0564386583864689,-0.0842513740062714,0.0182796437293291
"7","Japan",1956,344195.71875,326692.5625,90.2117301290671,44.5239715576172,2.48412108421326,273677.40625,337500.21875,337832.0625,332491.90625,408688.3125,138999.15625,0.68590772151947,0.0481259152293205,0.583800554275513,0.191952958703041,0.239309459924698,0.0616287738084793,-0.0988181680440903,0.0221264529973269
"8","Japan",1957,368275.03125,350872.1875,91.0036612660725,45.6981811523438,2.5112578868866,288526.8125,366813.1875,361819.8125,357262.625,440631.34375,151393.515625,0.68590772151947,0.0503994449973106,0.584199368953705,0.219128400087357,0.223404854536057,0.0633777603507042,-0.112956762313843,0.0228463634848595
"9","Japan",1958,400186.84375,375386.5625,91.8243766635585,45.8796539306641,2.53869128227234,305512.6875,385996.5,394078.3125,385148.78125,468003.09375,162061.375,0.68590772151947,0.0514478646218777,0.574672698974609,0.208968102931976,0.218560233712196,0.0603410489857197,-0.0847315043210983,0.0221894420683384
"10","Japan",1959,440402.1875,411121.1875,92.7266221897819,46.2746162414551,2.56431722640991,327975.375,423512.25,431409.3125,420028.1875,512066.40625,175794.53125,0.68590772151947,0.0522573553025723,0.567588627338409,0.227453455328941,0.213252708315849,0.0618307925760746,-0.0934574604034424,0.0233318470418453
"11","Japan",1960,500410,465629.4375,93.516839616864,47.3527565002441,2.58314394950867,362096.15625,485745.09375,491640.6875,472399.25,578942.375,195784.75,0.68590772151947,0.054604422301054,0.568424463272095,0.2617467045784,0.19808004796505,0.0612296313047409,-0.11194921284914,0.0224683918058872
"12","Japan",1961,556252.625,517845.0625,94.3632909943477,48.0145835876465,2.60400795936584,401390.9375,551043.125,546660.6875,526705.3125,647565.1875,220930.4375,0.68590772151947,0.0559875443577766,0.568226516246796,0.284128814935684,0.193852260708809,0.0560777559876442,-0.122686423361301,0.0204010866582394
"13","Japan",1962,609715.9375,566474.875,95.2463293204137,48.633716583252,2.62504005432129,433271.1875,592472.6875,597631.1875,579967.1875,703234.3125,245440.609375,0.68590772151947,0.0572183765470982,0.556330919265747,0.27450093626976,0.190730676054955,0.0584453381597996,-0.100157484412193,0.0201496761292219
"14","Japan",1963,660946.875,612923.5625,96.2205279150514,49.0500259399414,2.64624238014221,467983.5,648242.6875,647204.6875,626607.1875,765030.1875,272148.96875,0.68590772151947,0.0574780255556107,0.556563436985016,0.287674963474274,0.190289586782455,0.0583719238638878,-0.109237641096115,0.0163377560675144
"15","Japan",1964,738342.25,682741.125,97.2286518999393,49.690502166748,2.66761589050293,507067.15625,718244.125,722049.3125,697738.25,850603.8125,303721.75,0.68590772151947,0.0577690377831459,0.550300240516663,0.302659273147583,0.176429495215416,0.0623524375259876,-0.112026907503605,0.0202854331582785
"16","Japan",1965,785835.0625,724051.75,98.2784660492431,50.4911041259766,2.68916201591492,534385.1875,752856.5,768640.5,741729.9375,898858.75,333767.625,0.68590772151947,0.0571401007473469,0.546850502490997,0.294542968273163,0.173607394099236,0.073369026184082,-0.105974845588207,0.0176049955189228
"17","Japan",1966,866356.0625,798912,99.180696409892,51.5265426635742,2.71088218688965,583187.25,829597.875,848815.4375,821163.625,990977.5625,368941.375,0.68590772151947,0.0564331114292145,0.542397558689117,0.300074934959412,0.167798578739166,0.0762568041682243,-0.106836766004562,0.0203088894486427
"18","Japan",1967,959450.6875,883256.375,100.209346999922,52.5192909240723,2.73277759552002,639630.625,932908,942492.625,912453.625,1100816.75,413742.625,0.68590772151947,0.0564257651567459,0.540338635444641,0.321416169404984,0.160662084817886,0.0720374584197998,-0.114204816520214,0.019750514999032
"19","Japan",1968,1081449.125,995240.5625,101.337802236013,53.3946113586426,2.75485014915466,691876.1875,1043869.375,1063578.375,1030688.125,1231912.25,468811.125,0.68590772151947,0.0566327311098576,0.520121157169342,0.341512799263,0.151154816150665,0.0781185254454613,-0.109541490674019,0.0186341740190983
"20","Japan",1969,1213476.75,1117312.75,102.541562132492,53.8002433776855,2.77710056304932,750742.0625,1166977.25,1194422.375,1159607.375,1379164.625,533040.5,0.68590772151947,0.0570753440260887,0.506950795650482,0.358944952487946,0.140459775924683,0.0831510201096535,-0.107035368680954,0.0175288915634155
"21","Japan",1970,1343607.75,1233349,103.707537,54.3766708374023,2.79953122138977,799725.9375,1300623.625,1325234.25,1283925.375,1520975.125,608902.6875,0.68590772151947,0.0583568476140499,0.488752156496048,0.390129923820496,0.134123548865318,0.0878291726112366,-0.117317602038383,0.0164828393608332
"22","Japan",1971,1430099.75,1305417.125,105.142875,54.8080635070801,2.81945013999939,853956.6875,1368659.5,1413271,1362798.625,1592445.625,694863.25,0.68590772151947,0.0605101138353348,0.488133817911148,0.377680778503418,0.138486072421074,0.0960940197110176,-0.113722257316113,0.0133275892585516
"23","Japan",1972,1562533,1424087,106.616535,55.087890625,2.83951044082642,930227.0625,1501333,1542822.625,1486972.125,1726426.75,799918,0.68590772151947,0.0618413388729095,0.489871948957443,0.384073078632355,0.135712772607803,0.0896788015961647,-0.109855741262436,0.0105191254988313
"24","Japan",1973,1687001.75,1541062.125,108.085729,56.3110313415527,2.85971403121948,1007464.3125,1657971.5,1663540.25,1601847.875,1865103.75,955551.8125,0.68590772151947,0.060956533998251,0.49610298871994,0.406097948551178,0.13283583521843,0.0899252817034721,-0.131562232971191,0.00660018296912313
"25","Japan",1974,1640737,1533521.75,109.495053,56.0548057556152,2.88006114959717,1017652.25,1651666.875,1639409.25,1586411.875,1842251.75,1129078.125,0.68590772151947,0.0617834776639938,0.506684601306915,0.399653226137161,0.134795874357224,0.123074941337109,-0.170633420348167,0.00642478140071034
"26","Japan",1975,1695830.875,1601717.75,110.804519,55.8701515197754,2.90055274963379,1093111,1712483.75,1709472.625,1670709.75,1899206.375,1295929,0.68590772151947,0.0609616637229919,0.507243990898132,0.370724320411682,0.147035390138626,0.111747875809669,-0.139104977250099,0.00235336879268289
"27","Japan",1976,1801636.625,1708270,111.992858,56.3247146606445,2.9211905002594,1138419.375,1793453.5,1805819.75,1775279.875,1974699.5,1476539.25,0.68590772151947,0.0590884238481522,0.495326191186905,0.368975132703781,0.145935699343681,0.123616054654121,-0.13649146258831,0.00263836979866028
"28","Japan",1977,1920862.125,1824979.375,113.067848,56.9929237365723,2.94197511672974,1204284.875,1889984.375,1919376.125,1889768.25,2061395.5,1685368.5,0.68590772151947,0.056748554110527,0.49231818318367,0.362848490476608,0.144947692751884,0.128600314259529,-0.130373984575272,0.00165929587092251
"29","Japan",1978,2081593.5,1962215.375,114.054587,57.525390625,2.96290755271912,1281695.375,2041463.125,2076931.125,2027641.125,2170071,1947672,0.68590772151947,0.0545372180640697,0.48773729801178,0.374705255031586,0.144374281167984,0.11762835085392,-0.123262517154217,-0.00118267931975424
"30","Japan",1979,2196741.5,2095713.625,114.993274,58.1010055541992,2.98398876190186,1379106.875,2203957,2184792,2153911.5,2289078.75,2269601.75,0.68590772151947,0.0520017743110657,0.496466338634491,0.3829545378685,0.143813878297806,0.116477452218533,-0.138304352760315,-0.00140786764677614
"31","Japan",1980,2255564.75,2219018.25,115.912104,58.5075416564941,3.00522017478943,1431776.875,2276592,2255852.5,2273201,2353575.5,2611003.75,0.68590772151947,0.0506983883678913,0.484965026378632,0.371641248464584,0.144885465502739,0.134514659643173,-0.136675745248795,0.000669351022224873
"32","Japan",1981,2245812.25,2210524.75,116.821569,58.9913330078125,3.02206301689148,1425707.5,2234619.75,2250932.25,2260367.5,2451880.75,2949456,0.688493490219116,0.0507782734930515,0.484663128852844,0.357867628335953,0.146078303456306,0.146729096770287,-0.13531069457531,-2.75082293228479e-05
"33","Japan",1982,2208583.5,2181687.25,117.708919,59.5168762207031,3.03900027275085,1449131.75,2211698.25,2226143.25,2242756,2534671.25,3276402.75,0.690791070461273,0.0510930716991425,0.500045776367188,0.340013086795807,0.146093055605888,0.144838899374008,-0.131301552057266,0.000310717383399606
"34","Japan",1983,2176807.25,2157934,118.552097,60.434757232666,3.05603265762329,1461798.375,2150568.25,2186983.5,2210659.25,2612250.75,3566812,0.694712579250336,0.0504611618816853,0.514139473438263,0.311567634344101,0.14711044728756,0.151302993297577,-0.123914137482643,-0.000206390992389061
"35","Japan",1984,2193488.75,2178793.75,119.318921,60.6440048217773,3.07316040992737,1460216.625,2133281,2190492.25,2218326.75,2728859,3887254.75,0.685491144657135,0.0499147064983845,0.515441656112671,0.303410857915878,0.142809718847275,0.173399344086647,-0.135217308998108,0.000155698347953148
"36","Japan",1985,2247612,2250678.5,119.988663,60.9494743347168,3.09038424491882,1479688.625,2173794,2249351.5,2287240.5,2901687.5,4255401.5,0.672912240028381,0.0495459772646427,0.511784672737122,0.303468436002731,0.135147109627724,0.175426840782166,-0.125932186841965,0.000105114449979737
"37","Japan",1986,2409646.5,2458837.5,120.551455,61.1747627258301,3.10770440101624,1571943,2319043.5,2412311,2463855.25,2983836.5,4642246.5,0.665838718414307,0.0512594096362591,0.501469254493713,0.303224205970764,0.136532083153725,0.160154923796654,-0.099701963365078,-0.00167844688985497
"38","Japan",1987,2569083.25,2633404.5,121.02183,61.3541030883789,3.12512159347534,1671298.125,2491378.75,2567124.5,2613774.5,3106395.25,5102742.5,0.657512187957764,0.0532096475362778,0.502663493156433,0.313753396272659,0.13675594329834,0.149362564086914,-0.0999695733189583,-0.00256576808169484
"39","Japan",1988,2833216,2902971.25,121.432942,62.0122756958008,3.14263677597046,1792426.875,2766235.25,2827072.75,2880197.75,3328399.75,5714586.5,0.647535800933838,0.0541254691779613,0.490420371294022,0.338104724884033,0.131907358765602,0.146650418639183,-0.102880053222179,-0.00420281384140253
"40","Japan",1989,3066236.25,3121316.25,121.831143,62.8788528442383,3.16024994850159,1920894.25,3000049.25,3046312,3089100.75,3507140,6472479.5,0.64445823431015,0.0550116077065468,0.491826623678207,0.349342793226242,0.130002960562706,0.140817523002625,-0.105854898691177,-0.00613506184890866
"41","Japan",1990,3310624.25,3377821,122.249285,63.9243469238281,3.17796182632446,2086839.375,3234844.25,3265717.75,3298656,3702571.75,7426721,0.640435934066772,0.0557400658726692,0.511063158512115,0.348021984100342,0.121570058166981,0.133224800229073,-0.106531985104084,-0.00734805827960372
"42","Japan",1991,3520327.5,3595439.25,122.702527,65.2416458129883,3.19438242912292,2176778.5,3422536.5,3478606.25,3530430,3825658,8445595,0.649290144443512,0.0557389669120312,0.496323645114899,0.352862954139709,0.120252385735512,0.130250513553619,-0.0938140824437141,-0.00587545102462173
