countrycode,country,year,rgdpna,emp,rkna,delta
ABW,"Aruba",2010,3456.7783203125,0.0475558415055275,29942.4140625,0.0356641113758087
AGO,"Angola",2010,172672.203125,7.18688535690308,603169.1875,0.0527263358235359
ALB,"Albania",2010,26690.22265625,0.876876294612885,99161.9609375,0.0330783985555172
ARE,"United Arab Emirates",2010,543865.5,5.37467670440674,1897179.125,0.0537722855806351
ARG,"Argentina",2010,768766.75,17.4912586212158,1768973.75,0.0391627438366413
ARM,"Armenia",2010,24008.025390625,1.19480276107788,37152.01171875,0.0306365489959717
AUS,"Australia",2010,1002558,11.1005163192749,3324224,0.0378308929502964
AUT,"Austria",2010,339594.0625,4.19097661972046,1557251.375,0.0440568625926971
AZE,"Azerbaijan",2010,151713.265625,4.41016054153442,102230.25,0.0722112953662872
BDI,"Burundi",2010,6212.75634765625,4.3190770149231,9271.111328125,0.0374835021793842
BEL,"Belgium",2010,412235.28125,4.69642782211304,2053712.5,0.0450779385864735
BEN,"Benin",2010,17442.220703125,3.80562090873718,49329.68359375,0.0448052063584328
BFA,"Burkina Faso",2010,20305.65234375,5.57987356185913,44597.7421875,0.0504170656204224
BGD,"Bangladesh",2010,399434.46875,52.8902053833008,1070491.125,0.0416693203151226
BGR,"Bulgaria",2010,109422.4140625,3.73421287536621,269341.78125,0.0567533224821091
BHR,"Bahrain",2010,46525.890625,0.659124314785004,193561.96875,0.0348619930446148
BHS,"Bahamas",2010,8090.61962890625,0.176827996969223,36408.0546875,0.0507684648036957
BIH,"Bosnia and Herzegovina",2010,34031.72265625,0.670223414897919,99898.625,0.0494948849081993
BLR,"Belarus",2010,161073.78125,4.57500410079956,255197.53125,0.0486676245927811
BLZ,"Belize",2010,2385.64135742188,0.120508000254631,4648.5244140625,0.0525094270706177
BOL,"Bolivia (Plurinational State of)",2010,51069.22265625,4.49441528320313,90793.265625,0.0574936866760254
BRA,"Brazil",2010,2862274,100.79182434082,11207451,0.0465832613408566
BRB,"Barbados",2010,3304.41040039063,0.124293752014637,14674.8017578125,0.0535929538309574
BRN,"Brunei Darussalam",2010,31459.0859375,0.190191000699997,94567.8203125,0.0473971962928772
BTN,"Bhutan",2010,5134.07568359375,0.339156001806259,23501.09375,0.0450004376471043
BWA,"Botswana",2010,26358.302734375,0.864124953746796,101228.2265625,0.062597781419754
CAF,"Central African Republic",2010,4037.64990234375,1.88793194293976,16753.435546875,0.0314871333539486
CAN,"Canada",2010,1413960.75,17.7394790649414,5261183,0.0376460552215576
CHE,"Switzerland",2010,456897.8125,4.63380861282349,1593331.875,0.057246882468462
CHL,"Chile",2010,320254.59375,6.96836519241333,906230.5,0.041058462113142
CHN,"China",2010,12779162,781.376770019531,43438692,0.05227080732584
CIV,"Côte d'Ivoire",2010,52667.4609375,7.40717840194702,154371.484375,0.0386644788086414
CMR,"Cameroon",2010,50569.671875,8.82583999633789,114309.546875,0.04882787540555
COD,"D.R. of the Congo",2010,43359.62109375,21.0045871734619,65010.58984375,0.0292161982506514
COG,"Congo",2010,23734.962890625,1.52593398094177,61354.13671875,0.0388213768601418
COL,"Colombia",2010,513203.71875,22.0589427947998,1488079.25,0.0406340211629868
COM,"Comoros",2010,1032.04748535156,0.187517002224922,2311.29858398438,0.0371769219636917
CPV,"Cabo Verde",2010,2998.12841796875,0.197806000709534,12224.7294921875,0.051329780369997
