countrycode,country,year,rgdpna,emp,rkna,delta,n,yr_sch
ALB,"Albania",2010,26690.22265625,0.876876294612885,99161.9609375,0.0330783985555172,-0.0119789188757916,9.93
ARE,"United Arab Emirates",2010,543865.5,5.37467670440674,1897179.125,0.0537722855806351,0.0935754619493163,9.07
ARG,"Argentina",2010,768766.75,17.4912586212158,1768973.75,0.0391627438366413,0.0292600572608209,9.51
ARM,"Armenia",2010,24008.025390625,1.19480276107788,37152.01171875,0.0306365489959717,0.0135480094114944,10.73
AUS,"Australia",2010,1002558,11.1005163192749,3324224,0.0378308929502964,0.023103414026153,11.54
AUT,"Austria",2010,339594.0625,4.19097661972046,1557251.375,0.0440568625926971,0.0104550667237668,9.6
BDI,"Burundi",2010,6212.75634765625,4.3190770149231,9271.111328125,0.0374835021793842,0.0400870076752363,3.35
BEL,"Belgium",2010,412235.28125,4.69642782211304,2053712.5,0.0450779385864735,0.01290921190806,10.69
BEN,"Benin",2010,17442.220703125,3.80562090873718,49329.68359375,0.0448052063584328,0.0321945603978047,4.43
BGD,"Bangladesh",2010,399434.46875,52.8902053833008,1070491.125,0.0416693203151226,0.0279366016115017,5.91
BGR,"Bulgaria",2010,109422.4140625,3.73421287536621,269341.78125,0.0567533224821091,-0.038117921265862,11.24
BHR,"Bahrain",2010,46525.890625,0.659124314785004,193561.96875,0.0348619930446148,0.0687966107084456,7.06
BLZ,"Belize",2010,2385.64135742188,0.120508000254631,4648.5244140625,0.0525094270706177,0.0397673496038526,11.29
BOL,"Bolivia (Plurinational State of)",2010,51069.22265625,4.49441528320313,90793.265625,0.0574936866760254,0.0458382659105644,8.25
BRA,"Brazil",2010,2862274,100.79182434082,11207451,0.0465832613408566,0.0407847671994966,7.89
BRB,"Barbados",2010,3304.41040039063,0.124293752014637,14674.8017578125,0.0535929538309574,-0.0106949794494049,9.45
BRN,"Brunei Darussalam",2010,31459.0859375,0.190191000699997,94567.8203125,0.0473971962928772,0.0216314323208803,8.74
BWA,"Botswana",2010,26358.302734375,0.864124953746796,101228.2265625,0.062597781419754,0.0434099101699138,9.55
CAF,"Central African Republic",2010,4037.64990234375,1.88793194293976,16753.435546875,0.0314871333539486,0.0242119474571709,3.76
CAN,"Canada",2010,1413960.75,17.7394790649414,5261183,0.0376460552215576,0.0174288616663279,12.32
CHE,"Switzerland",2010,456897.8125,4.63380861282349,1593331.875,0.057246882468462,0.00751076398727388,13.02
CHL,"Chile",2010,320254.59375,6.96836519241333,906230.5,0.041058462113142,0.067940556361321,9.78
CHN,"China",2010,12779162,781.376770019531,43438692,0.05227080732584,0.00514779870658466,7.95
CIV,"Côte d'Ivoire",2010,52667.4609375,7.40717840194702,154371.484375,0.0386644788086414,0.0257644593595256,4.65
CMR,"Cameroon",2010,50569.671875,8.82583999633789,114309.546875,0.04882787540555,0.0460384865353641,6.15
COD,"D.R. of the Congo",2010,43359.62109375,21.0045871734619,65010.58984375,0.0292161982506514,0.0361472751444967,3.66
COG,"Congo",2010,23734.962890625,1.52593398094177,61354.13671875,0.0388213768601418,0.0297243334384472,5.94
COL,"Colombia",2010,513203.71875,22.0589427947998,1488079.25,0.0406340211629868,0.0291093560702627,8.95
CRI,"Costa Rica",2010,54430.42578125,2.02348136901855,126393.109375,0.0613501593470573,0.0457772830096753,7.97
CYP,"Cyprus",2010,23111.22265625,0.321531981229782,124272.7890625,0.0349156446754932,0.00795069303469326,11.07
CZE,"Czech Republic",2010,276096.5625,5.03602170944214,1612379.625,0.041021678596735,-0.00900837247079657,12.8
DEU,"Germany",2010,3350847.75,40.4124984741211,13175145,0.0390462949872017,0.00445085977928598,12.37
DNK,"Denmark",2010,240236.890625,2.77569317817688,1068637.125,0.0437954775989056,-0.0208953187899172,11.3
DOM,"Dominican Republic",2010,113893.640625,3.78214621543884,355040.15625,0.0304727051407099,0.0443438965859665,7.85
DZA,"Algeria",2010,471140.875,9.79781246185303,1344066.75,0.0642140433192253,0.0263432145321094,6.68
ECU,"Ecuador",2010,140492.4375,5.47705888748169,470558.53125,0.0463801473379135,-0.000328981580077641,7.6
EGY,"Egypt",2010,882494.875,25.1488456726074,1038149.375,0.0607480965554714,0.0384811559831187,7.15
ESP,"Spain",2010,1490921.125,19.6798419952393,7935233,0.0367885157465935,-0.0153569654927059,10.27
FIN,"Finland",2010,202177.4375,2.53703212738037,977834.375,0.0417886674404144,-0.00272797340478972,9.84
FJI,"Fiji",2010,5991.34033203125,0.30520099401474,14265.3642578125,0.0768219903111458,0.010398549566413,9.96
FRA,"France",2010,2343530.75,26.9099521636963,10912787,0.0385999083518982,0.000816056623433778,10.68
GAB,"Gabon",2010,24156.609375,0.364145010709763,69815.5703125,0.0730253905057907,-0.0131732196653036,8.39
GBR,"United Kingdom",2010,2166255.5,29.357385635376,9652181,0.0377607569098473,0.00478069251203056,12.24
GHA,"Ghana",2010,71752.421875,10.6604652404785,211633.46875,0.050138033926487,0.0538244534084408,7
GMB,"Gambia",2010,3050.51220703125,0.494505971670151,7699.234375,0.0548884719610214,0.0341073048397395,3.77
GRC,"Greece",2010,298853.59375,4.88598012924194,1620005.125,0.0342024527490139,-0.0282035640669187,10.3
