countrycode,country,year,rgdpe,emp,hc,rkna
BRA,"Brazil",1950,89666,19.696496963501,1.30044388771057,965539.875
BRA,"Brazil",1951,93575.3203125,20.2455577850342,1.30809342861176,983623.6875
BRA,"Brazil",1952,100258.640625,20.814136505127,1.31578814983368,1009941.5
BRA,"Brazil",1953,103663.28125,21.4030895233154,1.32352793216705,1030332.8125
BRA,"Brazil",1954,112733.34375,22.0133152008057,1.33131337165833,1052112.5
BRA,"Brazil",1955,123580.15625,22.6457614898682,1.33914458751678,1072537.25
BRA,"Brazil",1956,127166.3125,23.3014221191406,1.35034668445587,1099619.25
BRA,"Brazil",1957,135673.15625,23.9813404083252,1.36164247989655,1137094.875
BRA,"Brazil",1958,149242.59375,24.6866092681885,1.37303268909454,1176163
BRA,"Brazil",1959,159248.828125,25.4183883666992,1.38451826572418,1216672.75
BRA,"Brazil",1960,177142.4375,26.1778812408447,1.3960999250412,1254886.125
BRA,"Brazil",1961,192504.421875,26.7984867095947,1.40659320354462,1272407
BRA,"Brazil",1962,206124.578125,27.4454612731934,1.41716527938843,1319653.625
BRA,"Brazil",1963,208103.09375,28.1202163696289,1.42781686782837,1365597.25
BRA,"Brazil",1964,217692.34375,28.8242454528809,1.4385484457016,1408549.375
BRA,"Brazil",1965,223910.296875,29.5591354370117,1.44936072826386,1448706
BRA,"Brazil",1966,239142.390625,30.3265686035156,1.46191036701202,1505816.25
BRA,"Brazil",1967,254557.84375,31.1283321380615,1.47456860542297,1577959.375
BRA,"Brazil",1968,276938.75,31.9663257598877,1.48733639717102,1676693.125
BRA,"Brazil",1969,291610.9375,32.8425674438477,1.50021481513977,1799142.5
BRA,"Brazil",1970,331845.03125,33.7591934204102,1.51320481300354,1931603.875
BRA,"Brazil",1971,369921.8125,35.677116394043,1.50219655036926,2087421
BRA,"Brazil",1972,415079.59375,37.5893821716309,1.49126839637756,2273576.5
BRA,"Brazil",1973,475298.3125,42.1144523620605,1.48041987419128,2507409.5
BRA,"Brazil",1974,503499.59375,43.0926399230957,1.4696501493454,2773108
BRA,"Brazil",1975,528171.9375,44.167407989502,1.45895874500275,3061014.25
BRA,"Brazil",1976,580594.1875,45.3451728820801,1.46344685554504,3362507
BRA,"Brazil",1977,600753.8125,49.7305717468262,1.46794879436493,3643035
BRA,"Brazil",1978,620051.75,51.3118591308594,1.4724645614624,3936492.75
BRA,"Brazil",1979,657297.3125,50.3403930664063,1.47699427604675,4232904
BRA,"Brazil",1980,661064.3125,49.7253684997559,1.48153781890869,4551678.5
BRA,"Brazil",1981,669880.8125,51.7870292663574,1.50794196128845,4825293.5
BRA,"Brazil",1982,689713.375,54.5609092712402,1.53481662273407,5079498
BRA,"Brazil",1983,682062.6875,55.1973495483398,1.56217014789581,5262828
BRA,"Brazil",1984,721960,57.2742881774902,1.59001123905182,5440133
BRA,"Brazil",1985,758729.8125,61.6193504333496,1.61834859848022,5634484
BRA,"Brazil",1986,860333.25,63.349437713623,1.63802647590637,5918809.5
BRA,"Brazil",1987,889041.8125,65.5833511352539,1.65794384479523,6184132.5
BRA,"Brazil",1988,902415.0625,67.7912979125977,1.67810320854187,6433552.5
BRA,"Brazil",1989,912854.6875,69.1382522583008,1.69850778579712,6691139.5
BRA,"Brazil",1990,885780.5625,70.8692016601563,1.71669137477875,6746008
BRA,"Brazil",1991,944316.5,71.0243759155273,1.74462711811066,6922431
BRA,"Brazil",1992,980538.8125,71.0424652099609,1.77301752567291,7062017
